Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-11-30,6830.39,6868.97,6830.39,6849.68,8510146
2010-12-01,6938.98,6954.43,6934.08,6934.08,3794508
2010-12-02,6994.95,6994.95,6967.96,6968.29,5599000
2010-12-03,7030.9,7050.65,6999.82,7050.65,7549324
2010-12-06,7029.73,7118.27,7029.73,7118.27,2510424
2010-12-07,7107.39,7107.39,7056.83,7064.07,6778314
2010-12-08,7095,7111.86,7092.31,7111.86,8220860
2010-12-09,7035.67,7095.72,7035.67,7088.73,7493464
2010-12-10,7060.69,7101.71,7041.16,7101.71,3619478
2010-12-13,7052.36,7052.36,7040.1,7052.11,3026273
2010-12-14,7046.27,7088.37,7035.14,7088.37,2994924
2010-12-15,7073,7146.3,7073,7146.3,2328972
2010-12-16,7109.07,7109.07,7059.66,7068.58,4464760
2010-12-17,7076.17,7096.79,7057.88,7096.79,9310925
2010-12-20,7002.24,7002.24,6990.69,6990.69,3958756
2010-12-21,7024.56,7047.51,7024.56,7047.51,2969136
2010-12-22,7054.72,7054.72,7037.83,7037.83,2353514
2010-12-23,7040.82,7040.82,7017.77,7017.77,1950394
2010-12-27,7006.99,7008.79,6995.43,6995.43,4541851
2010-12-28,7018.01,7018.01,6925.21,6925.21,2592067
2010-12-29,6988.1,7052.93,6988.1,7052.93,2766715
2010-12-30,7064.35,7068.26,7026.27,7026.27,4329769
2010-12-31,6998.89,6998.89,6921.28,6921.28,2805199
2011-01-03,6961.98,6973.88,6961.98,6965.24,2452324
2011-01-04,6961.91,6961.91,6914.08,6914.08,6764646
2011-01-05,6803.14,6803.14,6784.03,6787.23,11563238
2011-01-07,6724.73,6724.73,6635.1,6635.1,10000730
2011-01-10,6571.13,6666.13,6571.13,6666.13,12374588
2011-01-11,6644.15,6646.1,6630.05,6646.1,9437225
2011-01-12,6719.96,6719.96,6680.22,6696.64,10523763
2011-01-13,6703.39,6703.39,6673.95,6673.95,7648155
2011-01-14,6642.05,6663.69,6642.05,6663.69,8429329
2011-01-17,6655.05,6669.39,6655.05,6669.39,3702485
2011-01-18,6825.3,6841.69,6790.12,6841.69,9177143
2011-01-19,6913.3,6947.36,6842.21,6842.21,4860357
2011-01-20,6888.62,6888.62,6839.55,6839.55,4281623
2011-01-21,6875.97,6875.97,6857.98,6857.98,3380505
2011-01-24,6767.38,6815.19,6767.38,6815.19,3106927
2011-01-25,6770.56,6774.68,6770.56,6774.68,3881043
2011-01-26,6792.17,6824.89,6781.78,6824.89,4780341
2011-01-27,6769.92,6807.72,6769.92,6807.72,3570204
2011-01-28,6791.8,6791.8,6750.73,6750.73,3698594
2011-01-31,6645.72,6737.23,6645.72,6737.23,7257819
2011-02-01,6779.55,6809.74,6779.55,6809.74,10636105
2011-02-02,6884.33,6884.33,6854.42,6854.42,4685809
2011-02-03,6889.83,6889.83,6864.08,6864.08,9807498
2011-02-04,6870.67,6870.67,6851.95,6868.4,6980101
2011-02-07,6901.66,6901.66,6892.09,6894.79,10590846
2011-02-08,6909.54,6909.54,6893.79,6893.79,13137339
2011-02-09,6892.82,6926.06,6892.82,6926.06,5790379
2011-02-10,6827.11,6827.11,6807.34,6807.34,7456388
2011-02-11,6807.84,6813.68,6782.51,6813.68,4579526
2011-02-14,6818.16,6818.16,6777.34,6777.34,5009529
2011-02-15,6787.2,6792.65,6787.2,6792.65,4042096
2011-02-16,6758.25,6775.54,6743.35,6743.35,6271337
2011-02-17,6752.16,6752.16,6615.61,6615.61,5498535
2011-02-18,6640.26,6730.25,6640.26,6730.25,5367047
2011-02-21,6676.51,6699.56,6676.51,6681.7,2633445
2011-02-22,6636.12,6652.82,6636.12,6652.82,3092392
2011-02-23,6686.37,6688.98,6684.7,6688.98,3646245
2011-02-24,6625.75,6639.2,6625.75,6639.2,3291906
2011-02-25,6717.89,6717.89,6703.8,6704.78,7495977
2011-02-28,6673.53,6783.95,6673.53,6783.95,5597854
2011-03-01,6760.47,6760.47,6723.69,6723.69,3123500
2011-03-02,6673.59,6757.76,6673.59,6757.76,2503922
2011-03-03,6861.57,6916.28,6861.57,6916.28,7782727
2011-03-04,7018,7018,6971.3,6971.3,6489141
2011-03-07,7036.78,7039.54,6967.76,6967.76,5305380
2011-03-08,7054.22,7054.22,7017.69,7043.96,5363486
2011-03-09,6989.88,7022.53,6989.88,6992.69,5138232
2011-03-10,6977.42,6985.13,6977.42,6979,3153486
2011-03-11,6906.6,6906.6,6880.5,6880.5,4362053
2011-03-14,6882.2,6885.62,6877.65,6885.62,6517837
2011-03-15,6790.83,6943.66,6790.83,6943.66,7520430
2011-03-16,6867.02,6867.82,6810.03,6810.03,3970896
2011-03-17,6855.1,6857.81,6852.67,6852.67,4808071
2011-03-18,6850.23,6910.35,6850.23,6910.35,6793085
2011-03-21,6914.79,6956.08,6914.79,6956.08,3148826
2011-03-22,6925.62,6925.62,6899.78,6924.33,3923679
2011-03-23,6916.32,6916.32,6847.08,6877.89,3015598
2011-03-24,6851.88,6916.63,6851.88,6916.63,6189431
2011-03-25,6934.77,7027.22,6934.77,7027.22,5735859
2011-03-28,7041.93,7093.53,7041.93,7093.53,3901908
2011-03-29,7001.06,7033.84,7001.06,7033.84,5990219
2011-03-30,7116.59,7116.59,7056.5,7056.5,16304385
2011-03-31,7075.83,7101.55,7075.83,7091.76,7763756
2011-04-01,7129.07,7233.83,7129.07,7233.83,8586224
2011-04-04,7245.85,7256.99,7239.33,7239.33,5787732
2011-04-05,7235.74,7241.98,7222.09,7241.98,6871052
2011-04-06,7299.06,7367.82,7299.06,7359.99,6919113
2011-04-07,7375.19,7387.49,7341.44,7387.49,5245787
2011-04-08,7357.37,7357.37,7276.69,7276.69,5502194
2011-04-11,7239.45,7266.85,7219.13,7266.85,2740519
2011-04-12,7231.23,7267.22,7231.23,7267.22,5732285
2011-04-13,7277.84,7370.46,7277.84,7370.46,7226819
2011-04-14,7371.58,7371.58,7328.13,7338.9,6358628
2011-04-15,7343.66,7343.66,7337.06,7337.06,5214434
2011-04-18,7287.45,7287.45,7173.04,7173.04,4181836
2011-04-19,7211.26,7250.21,7211.26,7248.06,2841051
2011-04-20,7348.2,7348.2,7310.26,7310.26,4902079
2011-04-21,7290.05,7290.05,7257.92,7258.73,3467132
